# gate_wiring.tsv — THE ONE POPULATION OF scripts/test_gate_*.sh, WITH A CLASS COLUMN.
#
# ⛔ READ scripts/util_gate_wiring.py BEFORE EDITING THIS FILE BY HAND. It is the only thing that writes it,
#    and every rule below is enforced there rather than trusted here.
#
# WHY IT IS ONE FILE AND NOT TWO. hq_S asked for the RULING/TASK split by analogy to UNGRADABLE vs UNGRADED,
# and offered two files or one file with a class column. ONE FILE, because THE FAILURE WE BOTH FEAR IS A NAME
# THAT APPEARS IN NEITHER LIST, and two files make that state easy to reach and hard to see. The property
# worth protecting is not "each list is right", it is "EVERY NAME IS IN EXACTLY ONE BUCKET" — and only a
# single population can check that.
#
# columns: gate <TAB> class <TAB> reason <TAB> declared_by <TAB> declared_utc
#   WIRED   reachable from `make test` / `make test-postoffice` today. MEASURED, so no reason and no declarer.
#           ⛔ A WIRED name that stops being reachable is THE REFUSAL this file exists for, and the check
#           NAMES it. The floor is the SET OF NAMES, never the count: 64 to 64 with one name
#           dropped and another added is a green ratchet over a real regression.
#   RULING  deliberately out of make test. ⛔ REASON AND DECLARER REQUIRED, refused if blank, taken at the
#           moment of exemption from the person exempting it. An exemption list that accepts a blank reason
#           is the new silent backlog with a tidier name.
#   TASK    unwired, and nobody has ruled. THE DEBT. Capped by TASK-CEILING below, which `adopt` lowers and
#           never raises, so a newly landed unwired gate cannot join it silently: its author's two honest
#           options are WIRE IT or RULE IT WITH A REASON.
#
# ⭐ THE STATE AT INSTALLATION (measured 2026-09-06, hq_T, row requested by hq_S / ceo CEO-326):
#   282 gates on disk · 92 reachable · 8 ruled out · 181 TASK.
#   UNWIRED IS THE NORM HERE, roughly two in three — which is why this is a RATCHET and not the census that
#   was asked for. A check that arrives red on 181 lines is muted on day one, and a muted check is worse than
#   no check because it looks like coverage. The 181 are a NAMED, MEASURED debt with a number that can only
#   go down; they are NOT refused.
# ⛔ THE FIRST MEASUREMENT SAID 64 REACHABLE AND 207 TASK, AND IT WAS WRONG BY 22 GATES — kept here because it
#   is the most reusable thing this file knows. `make preflight` landed the same day, reading its 31 arms from
#   scripts/preflight_arms.txt rather than naming them in the recipe, so `make -n preflight` names NO gate
#   while running all of them, and 22 gates that ARE run were confidently filed as run by nothing. ⭐ THE
#   MOMENT A TARGET READS ITS POPULATION FROM A FILE, EXPANDING THE RECIPE STOPS ANSWERING THE QUESTION YOU
#   ASKED. util_gate_wiring.py now follows that one indirection, and its selftest pins it.
# ⛔ AND THE RULING COLUMN IS NEARLY EMPTY ON PURPOSE. Every unwired gate was read looking for one that says
#   in its own header that it is deliberately out of the recipe. NOT ONE DOES. The 8 below are the ceo's
#   ruling of 2026-09-03, quoted from the Makefile's own test-postoffice header — cited, not invented.
#   Everything else is TASK because nobody has ruled, which is the honest word for it.
# TASK-CEILING: 165
# 166 -> 165 (coo 2026-09-25): test_gate_diag_regs_survive.sh retired -- its r10 statement number was removed by design at 2a81a02db, and r11 cannot stand in, because a later box stamp masks a planted clobber; the survival property is test_gate_rtx_entries_keep_the_rtcc_four.sh's.
test_gate_a_blocking_set_death_names_its_killer.sh	WIRED	-	-	-
test_gate_a_cgroup_kill_is_a_refusal_not_a_red.sh	WIRED	-	-	-
test_gate_a_compiled_program_runs_on_a_stack_it_maps_itself.sh	WIRED	-	-	-
test_gate_a_fail_operand_folds_instead_of_refusing_at_the_binop_guard.sh	WIRED	-	-	-
test_gate_a_master_with_xfails_never_reads_done.sh	WIRED	-	-	-
test_gate_a_nested_alternation_receded_into_resumes_its_own_arm_not_the_outer_beta.sh	WIRED	-	-	-
test_gate_abandoned_generator_handle_is_dropped_at_alpha.sh	WIRED	-	-	-
test_gate_absent_line_is_unproven_not_red.sh	WIRED	-	-	-
test_gate_an_assignment_to_a_value_raises_111_at_run_time_instead_of_aborting.sh	WIRED	-	-	-
test_gate_apply_reaches_every_formal_at_every_arity.sh	WIRED	-	-	-
test_gate_banner_prints_a_verdict_word_and_a_ruled_grid.sh	WIRED	-	-	-
test_gate_baton_donewhen_reads_its_runner_rc.sh	WIRED	-	-	-
test_gate_baton_donewhen_runnable.sh	WIRED	-	-	-
test_gate_bench_prolog_kernels_pristine.sh	WIRED	-	-	-
test_gate_bench_rivals_coverage.sh	WIRED	-	-	-
test_gate_benchmarks_run_with_every_diagnostic_off.sh	WIRED	-	-	-
test_gate_blocking_set_parallel_agrees_with_serial.sh	WIRED	-	-	-
test_gate_blocking_set_shards_agree_with_sequential.sh	WIRED	-	-	-
test_gate_board_population_floor.sh	WIRED	-	-	-
test_gate_boards_refuse_when_the_binary_moves.sh	WIRED	-	-	-
test_gate_build_freshness_is_behavioural.sh	WIRED	-	-	-
test_gate_builder_and_grader_agree_on_stdin_companion_spellings.sh	WIRED	-	-	-
test_gate_bus_verbs_refuse_with_usage.sh	WIRED	-	-	-
test_gate_c2bb_the_generator_arm_is_a_coroutine_start_not_a_box_entry_from_c.sh	WIRED	-	-	-
test_gate_c_allocators_are_eradicated_and_say_where_they_went.sh	WIRED	-	-	-
test_gate_capture_stdin_and_red_exit.sh	WIRED	-	-	-
test_gate_ceo409_mask_is_read_by_the_bash_runners.sh	WIRED	-	-	-
test_gate_claim_and_next_announce_the_start_of_work.sh	WIRED	-	-	-
test_gate_claim_computes_the_premise.sh	WIRED	-	-	-
test_gate_coexpr_stack_of_uncreated_thread.sh	WIRED	-	-	-
test_gate_collect_reports_free_storage_and_fails_when_short.sh	WIRED	-	-	-
test_gate_control_edges_live_on_ports.sh	WIRED	-	-	-
test_gate_corpus_coverage_classified.sh	WIRED	-	-	-
test_gate_cross_suite_ref_agreement.sh	WIRED	-	-	-
test_gate_ct_grow_grows_in_place_at_the_frontier_or_allocs_copies_and_abandons.sh	WIRED	-	-	-
test_gate_declared_arena_switches_agree_with_the_harness.sh	WIRED	-	-	-
test_gate_deferred_rows_name_a_ruling_and_the_work_they_wait_on.sh	WIRED	-	-	-
test_gate_define_alternate_entry.sh	WIRED	-	-	-
test_gate_dispatch_bus_failure_modes.sh	WIRED	-	-	-
test_gate_dispatch_claim_single_authority.sh	WIRED	-	-	-
