# gc_safe_point_contract_floor.tsv -- THE DECLARED FLOOR of the safe-point contract, ONE LINE PER WITNESS.
# ⛔ IT IS A NAME SET AND NOT A TOTAL, and the reason is the coo's rule of 2026-09-21, taken in the cto's
# words and sharpened in theirs: A GATE WHOSE POPULATION IS A DIRECTORY GLOB CANNOT CARRY A BLOCKING VERDICT
# WHEN THE DIRECTORY IS SHARED -- either the population is a DECLARED NAME SET or the verdict is REPORTED.
# scripts/gc_witnesses/ is written by five seats; a witness ARRIVING is a file addition and must never be
# read as this tree getting worse, while a NAMED witness's own numbers MOVING is the whole thing this gate
# exists to catch.  A witness not named here is REPORTED and never blocking.
# 2026-09-22 cto: hb_coexpr_genp_scan.icn undecidable 8 -> 14, spine_cell 8 -> 16.  The cfo's bc1092d8f put
# x86_rt_gc_poll_res at the two by-name call sites; the four reached at two depths are now PLACED as SPINE-CELL at
# every depth (owner_ks), and the six in the co-expression body plus one call_value beta site reach NO ANCHOR and
# are NAMED POLL-RES-ENVELOPE.  A poll ARRIVING at a site this reader cannot place is a site that was UNPOLLED before,
# not the tree getting worse; the RSP-parity screen (CEO-1151) grades those seven in the bare-poll row.
# 2026-09-25 cto: five Prolog witnesses re-declared, UNDECIDABLE only, every added row K3 NO-ANCHOR-REACHES-SITE in a Prolog
# call box (the class this reader already could not place at 958 of these rows): findall 234 -> 294, root_cells 214 -> 274,
# pldb 152 -> 210, batch_b 210 -> 274, atom_dup 148 -> 154.  1186 of them were on origin 496b24635, identical on a control and
# on the IR_BOUND cure (hq_prolog's lowering landings); the last 20 with 15 new sites bisect to 7691706a8 (nl/0 permission).
# k5 is the RSP-PARITY clause (CEO-1151, cto 2026-09-22): a poll call at rsp 8 mod 16 on any path from its function's
# own entry (a box entry ASSUMED on the grid, a called function at 8), which misaligns every C callee on that path.
# UNGRADEABLE: hb_aggt.icn hb_aggv.icn hb_arr.sno hb_dinst.icn hb_dvec_list.icn hb_errtext_eval_capture.sno hb_pldb.pl hb_ws.icn hb_wsb.icn
# COLUMNS: witness  sites  k1  k2  k3  k4  k5  undecidable  spine_cell
hb_aggt.icn	21	0	0	0	0	0	0	0
hb_aggv.icn	17	0	0	0	0	0	0	0
hb_arr.sno	21	0	0	0	0	0	0	36
hb_big_in_aggregate.icn	56	0	0	0	0	0	0	0
hb_bignum_length.icn	499	0	0	0	0	0	0	0
hb_blob_span_defer.sno	23	0	0	0	0	0	6	30
hb_coexpr_create.icn	41	0	0	0	0	0	8	0
hb_coexpr_genp_scan.icn	47	0	0	0	0	0	28	16
hb_coexpr_parked.icn	31	0	0	0	0	0	12	0
hb_coexpr_refresh.icn	31	0	0	0	0	0	6	2
hb_coexpr_sigma.icn	49	0	0	0	0	0	4	4
hb_cv_spine_plain_redo.icn	54	0	0	0	0	0	0	0
hb_datblk.sno	32	0	0	0	0	0	0	58
hb_defer_subject.sno	17	0	0	0	0	0	8	16
hb_deferexpr_a_dupl.sno	5	0	0	0	0	0	0	8
hb_deferexpr_a_replace.sno	5	0	0	0	0	0	0	8
hb_deferexpr_a_substr.sno	5	0	0	0	0	0	0	8
hb_deferexpr_a_trim.sno	5	0	0	0	0	0	0	8
hb_deferexpr_d_dupl.sno	7	0	0	0	0	0	4	8
hb_deferexpr_d_replace.sno	7	0	0	0	0	0	4	8
hb_deferexpr_d_substr.sno	7	0	0	0	0	0	4	8
hb_deferexpr_d_trim.sno	7	0	0	0	0	0	4	8
hb_deferexpr_nodefer.sno	11	0	0	0	0	0	0	20
hb_dinst.icn	15	0	0	0	0	0	0	0
hb_dtp.sno	21	0	0	0	0	0	0	36
hb_dvec_data_convert.sno	59	0	0	0	0	0	0	104
hb_dvec_list.icn	135	0	0	0	0	0	0	0
hb_dvec_list_slice.icn	82	0	0	0	0	0	0	0
hb_dvec_sort_match.sno	96	0	0	0	0	0	18	152
hb_errtext_eval_capture.sno	7	0	0	0	0	0	0	12
hb_errtext_keyword.sno	4	0	0	0	0	0	0	6
hb_eval_names.sno	25	0	0	0	0	0	6	34
hb_file_name_unrooted.icn	18	0	0	0	0	0	0	0
hb_mkexpr_unmapped_spine_store.sno	11	0	0	0	0	0	2	18
hb_nested_match_outer_subject.sno	25	0	0	0	0	0	20	20
hb_nv.sno	29	0	0	0	0	0	0	48
hb_pl_findall.pl	468	0	0	0	0	0	294	0
hb_pl_root_cells.pl	497	0	0	0	0	0	274	0
hb_pldb.pl	412	0	0	0	0	0	210	0
hb_plj_batch_b.pl	442	0	0	0	0	0	274	0
hb_scan_nested.icn	21	0	0	0	0	0	0	0
hb_ws.icn	13	0	0	0	0	0	0	0
hb_wsb.icn	14	0	0	0	0	0	0	0
hb_wsb_bignum.icn	24	0	0	0	0	0	0	0
hb_wsb_eval_define.sno	29	0	0	0	0	0	12	40
hb_wsb_pl_atom_dup.pl	357	0	0	0	0	0	154	0
hb_wsb_raku_junction.raku	24	0	0	0	0	0	0	0
hb_wsb_raku_sprintf_multi.raku	26	0	0	0	0	0	0	0
hb_wsb_rk_arr.raku	21	0	0	0	0	0	0	2
hb_wsb_rk_gram_parse.raku	6	0	0	0	0	0	0	0
hb_wsb_rk_iter_grep.raku	18	0	0	0	0	0	0	0
hb_wsb_rk_iter_map.raku	18	0	0	0	0	0	0	0
